,000,10,15,1986,1987,25,30,50,agriculture,also,barrels,company,corn,could,crude,day,department,dlrs,expected,export,government,grain,last,lt,march,market,may,mln,new,official,oil,one,pct,per,petroleum,price,prices,production,said,today,told,tonnes,total,trade,two,usda,week,wheat,would,year
crude_article000.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381669250340947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4255525356565977,0.0,0.0,0.0,0.0,0.0,0.4203817288469068,0.0,0.0,0.27281994876161697,0.0,0.0,0.2501173335889122,0.0,0.3164627108224619,0.0,0.0,0.0,0.0,0.0,0.1712622376107656,0.0,0.0,0.0,0.0,0.41869860665706665,0.0,0.0,0.0,0.0,0.0,0.2933428756044294
crude_article001.txt,0.0,0.0,0.0,0.0,0.2311880418510733,0.24632717471594232,0.24632717471594232,0.0,0.0,0.2032802375675302,0.0,0.24538689451968673,0.0,0.24399536435829525,0.0,0.0,0.0,0.17846619887829085,0.255809820954596,0.0,0.0,0.0,0.18472768562483952,0.2497010535040385,0.0,0.23319520675395716,0.237354898789888,0.16399860510258782,0.22617744747520624,0.0,0.15035151940594157,0.0,0.19023331459979037,0.0,0.0,0.0,0.19691059860941984,0.0,0.10294983267317817,0.0,0.0,0.0,0.2492109392958205,0.0,0.21628038847338674,0.0,0.0,0.0,0.1828919684338066,0.17633542794168522
crude_article002.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3359382141122665,0.0,0.0,0.0,0.40322349056173107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30527851378216375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24846891917626093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17013352279212574,0.39873232886689136,0.0,0.0,0.0,0.0,0.3574220904140767,0.0,0.40322349056173107,0.0,0.3022448319931707,0.0
crude_article003.txt,0.3043224672520205,0.40396733236542953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416049521878245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31042807195990957,0.0,0.0,0.0,0.0,0.0,0.3800828701071591,0.0,0.25266019074269946,0.35848560156038206,0.0,0.0,0.0,0.0,0.0,0.0,0.1730034020468055,0.40545830279610573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude_article004.txt,0.0,0.0,0.0,0.2300137046112412,0.25040397570409056,0.0,0.0,0.0,0.0,0.220176524968241,0.2652779155588684,0.2657830114456874,0.0,0.0,0.0,0.0,0.0,0.19329998805348447,0.0,0.0,0.0,0.0,0.20008191830645258,0.2704557555584521,0.0,0.0,0.0,0.17762987392776555,0.0,0.0,0.1628484670355527,0.0,0.20604516525054592,0.23282125728946504,0.2699249039395526,0.0,0.2132774530865822,0.23534883029506182,0.11150683743426937,0.0,0.0,0.0,0.2699249039395526,0.0,0.23425722501446833,0.0,0.0,0.0,0.19809361960716648,0.19099211127245058
crude_article005.txt,0.30441583343349155,0.0,0.4086122433317838,0.0,0.0,0.0,0.0,0.0,0.0,0.3417097566416178,0.0,0.0,0.0,0.0,0.35222611678608223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25273770692950087,0.0,0.0,0.0,0.0,0.0,0.0,0.36525688439135445,0.17305647951813538,0.40558269746804576,0.0,0.32833432677098306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude_article006.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390846811907992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4483643083195977,0.0,0.0,0.43487126603639825,0.0,0.2890807917607493,0.0,0.0,0.0,0.0,0.4370454535839293,0.37859991024370526,0.0,0.1979415921993198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude_article007.txt,0.5626432458512962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6510096514589366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095282245423032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude_article008.txt,0.2752398279006623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37224725398381625,0.0,0.0,0.0,0.3184678492996346,0.0,0.34780591258006055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24925645489863202,0.0,0.0,0.22851466750162328,0.0,0.0,0.0,0.37876807069168317,0.0,0.0,0.0,0.15647029624716507,0.0,0.0,0.0,0.37876807069168317,0.0,0.0,0.0,0.3708410781518839,0.0,0.0,0.0
crude_article009.txt,0.0,0.0,0.315632736604956,0.27574696707276347,0.0,0.0,0.0,0.0,0.0,0.0,0.3180227055182505,0.0,0.0,0.0,0.2720772442803608,0.3255137675591104,0.2971416877631657,0.0,0.0,0.0,0.0,0.0,0.23986389085969434,0.0,0.0,0.0,0.0,0.21294774187426788,0.0,0.0,0.19522737114033667,0.0,0.2470128007975559,0.2791127410262142,0.323593647276533,0.0,0.0,0.0,0.13367756622303786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2289667718156831
